Province,DHI201401,DHI201402,DHI201403,DHI201404,DHI201405,DHI201406,DHI201407,DHI201408,DHI201409,DHI201410,DHI201411,DHI201412,DHI201501,DHI201502,DHI201503,DHI201504,DHI201505,DHI201506,DHI201507,DHI201508,DHI201509,DHI201510,DHI201511,DHI201512,DHI201601,DHI201602,DHI201603,DHI201604,DHI201605,DHI201606,DHI201607,DHI201608,DHI201609,DHI201610,DHI201611,DHI201612
Binh Thuan,0.6366005233639535,0.47118651065541234,0.32285125002377635,0.5941685746314358,0.5717651671721145,0.4165062219366798,0.2706290215414755,0.38935371264318597,0.37398386697833247,0.3987674165392128,0.6240671539310298,0.8696823812006788,0.7585315216278906,0.6577793508875442,0.72849220222915,0.6818644341753207,0.7359094076337421,0.6826482857210255,0.6196710966348004,0.6358044088538338,0.6306331859112356,0.5645969715214405,0.6531744892423056,0.608099014391036,0.7132091391042956,0.5203749308989969,0.488388057723735,0.5823256508100333,0.5297513389466045,0.46513708595472797,0.45723270544800143,0.4799170019130997,0.5314060188730902,0.3575493056158812,0.39916052464981927,0.25795420821204457
Ca Mau,0.7632666423905358,0.7410426607770303,0.6830747558071439,0.8435211218067588,0.7000719836086399,0.7919358936199978,0.7730598278440407,0.7974961462481817,0.744482067571572,0.7842928403800138,0.7647063458264481,0.6509535943658027,0.4797332061409322,0.5474789990827169,0.7028199631851685,0.8194255610683341,0.7779282056273858,0.5733143883375166,0.7661100162454438,0.7349600075825713,0.6539498909886221,0.5244022193456765,0.5674950400520595,0.6969386957304238,0.8189996326401632,0.8026259609882475,0.7414592476177361,0.7442714900569043,0.6569678782303571,0.7036107474702841,0.6622915557480525,0.6641301598697086,0.5574561055323546,0.4640930383943814,0.5052167008809029,0.5028621531868597
Can Tho,0.5247927562387216,0.44982070741289853,0.3590360791430667,0.40410307162994813,0.4887211844381852,0.6590270704116239,0.458284896250521,0.48687859814654033,0.6211210419938138,0.7279376688445485,0.7237336224106123,0.4034240264770657,0.46909506707178955,0.6104628380643545,0.6458990588900431,0.5851087231594932,0.6293277283197238,0.6155150661102873,0.7301719561117037,0.7971344097539494,0.8009642840743759,0.8570008061819735,0.7663528137155956,0.6780930082581208,0.7374100841243079,0.8618121695244939,0.7410674166513155,0.6518038328673851,0.5915285505809071,0.67865474080661,0.43348120135808044,0.5534217561775076,0.7688772852125123,0.72549666542716,0.6592089717460137,0.40528150069349417
Cao Bang,0.3992341435237657,0.2095415901507523,0.37680761397277707,0.5566099971869676,0.37473396142675014,0.19179032230742432,0.23115809492822997,0.27761775064267313,0.2703125558878914,0.14741757711532,0.1747046158665283,0.13626548163510338,0.173425488548996,0.3869735760314845,0.3286605600531665,0.49060820773494923,0.23109963854810112,0.25137474237477414,0.3805619244282764,0.4819499671436232,0.25668101137795074,0.19829538246875208,0.19289887544117992,0.16142485679196805,0.1840541504037048,0.3052611742246209,0.3305593079341373,0.24651160708241968,0.36110128382194345,0.5911942828682818,0.6188611816069388,0.6236497120245634,0.5154971238191882,0.37766320176875595,0.38582934553955467,0.5605358095762827
Da Nang,0.582439773232736,0.5728613397948201,0.5126616197990737,0.775499609720266,0.8833776274630323,0.71536394436583,0.5901530683314695,0.49912571689664,0.5290809821598288,0.40942017921049495,0.5889412722103113,0.5793398291711489,0.5225782183487417,0.36344517395846476,0.46142436971810713,0.28242249454129403,0.4023195860922927,0.428720463202419,0.42979958040518024,0.5985169472934344,0.5792995111456765,0.47054749117945205,0.5164613432375667,0.5570208818252406,0.6141250238009563,0.4730756682234603,0.3960078880593993,0.5097077080217903,0.5417836757337406,0.4923934930643246,0.5867565902953008,0.6904075239937933,0.4467351145426105,0.38780912398401296,0.3926890723225686,0.40984328265291337
Dak Lak,0.6413104693659945,0.7084874340622429,0.4977110150609816,0.5912320187065909,0.6447330268313309,0.7008688170437194,0.5372015017972676,0.5937659614124882,0.5093250282425961,0.5262696357352941,0.6216300459666163,0.5970299868071798,0.49680777295207773,0.34549322962969536,0.5803992172775344,0.6896403633398615,0.598683942189859,0.4301255573190292,0.36065952441688537,0.40539365967090607,0.46499669058334897,0.522163004907619,0.48199869991879046,0.5097657015772264,0.659863344030442,0.6730323026425254,0.5632636336685322,0.7171146587425506,0.6633674489391259,0.5311653643203218,0.5219808051441149,0.4998166813693173,0.3282533442061373,0.2697993844937175,0.2789195060843849,0.2914761381817189
Dak Nong,0.8391279259135584,0.868579948758636,0.6821959922515041,0.7247066767648875,0.6618741811794662,0.5918221859655197,0.4592960344006023,0.49848278605935203,0.4736417735948496,0.4292013329895653,0.5649635184812387,0.6987029929429096,0.7023721872595711,0.6294874262326965,0.8444417844834983,0.781846969103634,0.7106313204941883,0.5284952918006436,0.5585558517470652,0.5284534799806612,0.6149489170869011,0.570186805405882,0.5692558624620405,0.5852774425688386,0.7608795821145634,0.7225048013569803,0.704805253406906,0.8055345399476403,0.7328789779429569,0.6261587962292009,0.6200773120992762,0.5820783477338092,0.5587580013105337,0.3595051249372527,0.33340092447590886,0.3700811395424387
Dien Bien,0.3096072880188279,0.26709006086229814,0.4793567242110407,0.6703797601018657,0.7101469646321095,0.6679338933835947,0.5047054653946603,0.42885751652674653,0.2371721332102062,0.3213437419811912,0.44789204237257824,0.43318122566052125,0.14304738980770296,0.3652024511021545,0.22756378037294112,0.3762812196772931,0.5526295812950505,0.41531527525622186,0.3575199881350187,0.33178789547915283,0.18044902659831064,0.21604692980122794,0.2854428848044821,0.15971979461771635,0.17549973473600092,0.08628927316637025,0.1499122893616368,0.33563179519562386,0.328836658633037,0.39509596832659294,0.5164825587271182,0.6620873410009941,0.6039630011705608,0.46768789966502583,0.567938132232191,0.6859622545131111
Dong Nai,0.6170659782346604,0.49582971572201423,0.1981401631807641,0.4797480700270071,0.5063945176669857,0.4520047111354015,0.4075061140104271,0.5313952821338827,0.5010349934980014,0.5281821749478994,0.6066431394782312,0.6384916423062353,0.5498804206354886,0.5202430919210509,0.4538633705440332,0.4776558167689681,0.526274850300175,0.47312254493428857,0.5331437172248306,0.6142543797943301,0.5572675940732342,0.3814268810522798,0.4475559118141939,0.45297010710668567,0.622105396233016,0.48790348892477303,0.4314872764428493,0.5138860366652986,0.49059681845842545,0.46988857513460736,0.4570417069492076,0.47606107156191596,0.4577892065185596,0.2412880759611656,0.30561374770974087,0.14522923256425024
Dong Thap,0.5665820462775878,0.4014610948072668,0.23435937482406755,0.36543013819927306,0.44052167835084743,0.4565803280349243,0.4850618429686122,0.668682070468162,0.7400647362022619,0.6372853875032669,0.6355502828267291,0.5049823609240277,0.5598614297135117,0.6604479692972642,0.6289927229265863,0.5375751830670545,0.5825597986338967,0.5778848734908125,0.7054498978552464,0.7807800501190436,0.7755553603386961,0.7707685470491478,0.6218794315055627,0.5842501815662676,0.7226068367907785,0.794177285564271,0.6747266829818088,0.6331814172697791,0.475756839109224,0.5643625002930154,0.47844292429501845,0.6069220262543802,0.6875867891677697,0.6190792881652154,0.487825246487614,0.35790779291057134
